NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
ISLAMABAD G-9/MARKAZ,44090,Islamabad GPO,Federal Capital,44091
ISLAMABAD HAJJ COMPLEX,45210,Islamabad GPO,Federal Capital,45211
ISLAMABAD I-10/MARKAZ,44800,Islamabad GPO,Federal Capital,44801
ISLAMABAD I-8/4,44790,Islamabad GPO,Federal Capital,44791
ISLAMABAD NATIONAL HEALTH LABORATIORIES,45500,Islamabad GPO,Federal Capital,45501
ISLAMABAD PRIMR MINISTER SECTT.,44010,Islamabad GPO,Federal Capital,44011
ISLAMABAD QUIAID-E-AZAM UNIVERSITY,45320,Islamabad GPO,Federal Capital,45321
ISMAILA,23400,Mardan GPO,KPK,23401
ISMAILABAD,59200,Multan GPO,Punjab,59201
JABBAR DARVESH,47660,Rawalpindi GPO,Punjab,47661
JABBI,41220,Khushab GPO,Punjab,41221
JABBI SHAH DILAWAR,48020,Talagang GPO,Punjab,48021
JABOKA,56290,Okara GPO,Punjab,56291
JABORI,21170,Mansehra GPO,KPK,21171
JACOBABAD GPO,79000,Jacobabad GPO,Sindh,79001
JAGLOT TANGIR,14150,Gilgit GPO,Northern Area,14151
JAHANABAD,40614,Sargodha GPO,Punjab,40615
JAHANIA,58200,Khanewal GPO,Punjab,58201
JAHLAR,41170,Khushab GPO,Punjab,41171
JAKHAR,36390,T.T Singh GPO,Punjab,36391
JALAL PUR JATTAN,50780,Gujrat GPO,Punjab,50781
JALAL PUR SHARIF,49120,Jhelum GPO,Punjab,49121
JALALA,23150,Mardan GPO,KPK,23151
JALALIA,43400,Attock GPO,Punjab,43401
JALALPUR NAU,52170,Gujranwala GPO,Punjab,52171
JALALPUR PIRWALA,59250,Multan GPO,Punjab,59251
JALBAI,23600,Sawabi GPO,KPK,23601
JALBANI ,32420,Dera Ghazi Khan GPO,Punjab,32421
JALIL TOWN,52302,Gujranwala GPO,Punjab,52303
JALLA JIM,61230,Vehari GPO,Punjab,61231
JALLO,53500,Lahore GPO,Punjab,53501
JALLOZAI,24240,Nowshera GPO,KPK,24241
JALSAI,23580,Sawabi GPO,KPK,23581
JALWAL,43112,Attock GPO,Punjab,43113
JAM NAWAZ ALI,68070,Sanghar GPO,Sindh,68071
JAM PUR,33000,Dera Ghazi Khan GPO,Punjab,33001
JAM SAHIB,67500,Nawabshah GPO,Sindh,67501
JAMAL DIN WALI,64370,Rahimyar Khan GPO,Punjab,64371
JAMAL GARHI,23230,Mardan GPO,KPK,23231
JAMALI,41280,Khushab GPO,Punjab,41281
JAMALPUR,63050,Bahawalpur GPO,Punjab,63051
JAMARGHAL,49750,Jhelum GPO,Punjab,49751
JAMBER KALAN,55250,Kasur GPO,Punjab,55251
JAMIA ASHRAFIA,35360,Jhang GPO,Punjab,35361
JAMKI,51020,Sialkot GPO,Punjab,51021
JAMMU KASHMIR MUHAJIR COLONY,49480,Jhelum GPO,Punjab,49481
JAMRUD,24730,Peshawar GPO,KPK,24731
JAND,43100,Attock GPO,Punjab,43101
JAND (CHAKWAL),48940,Chakwal GPO,Punjab,48941
JAND MEHLOO,47970,Gujar Khan GPO,Punjab,47971
JANDALA,49340,Jhelum GPO,Punjab,49341
JANDAN WALA,30150,Bhakkar GPO,Punjab,30151
JANDOLA,29470,Tank GPO,KPK,29471
JANG SHAHI,73110,Hyderabad GPO,Sindh,73111
JANI WALA,36100,T.T Singh GPO,Punjab,36101
JARANWALA,37250,Faisalabad GPO,Punjab,37251
JARI KASS,10232,Mirpur GPO,AJK,10233
JARMOT KALAN,47990,Gujar Khan GPO,Punjab,47991
JARRAL,22760,Abbottabad GPO,KPK,22761
JARWAR,65060,Sukkur GPO,Sindh,65061
JASIAL,48072,Talagang GPO,Punjab,48073
JASSAR,51750,Narowal GPO,Punjab,51751
JATHEKI,51100,Sialkot GPO,Punjab,51101
JATI,73060,Hyderabad GPO,Sindh,73061
JATLI,47780,Gujar Khan GPO,Punjab,47781
JATLI (AK),10380,Mirpur GPO,Azad Kashmir,10381
JATOI,34430,Muzaffargarh GPO,Punjab,34431
JATTI DHERI,10480,Mirpur GPO,Azad Kashmir,10481
JAUHAR ABAD,41200,Khushab GPO,Punjab,41201
JAURAH,50250,Gujrat GPO,Punjab,50251
JAVED NAGAR,59050,Multan GPO,Punjab,59051
JEHAN GIRA,23620,Sawabi GPO,KPK,23621
JEWAR,19260,Mardan GPO,KPK,19261
JEWRA,47420,Rawalpindi GPO,Punjab,47421
JHAL MAGSI,81100,Sibi GPO,Balochistan,81101
JHALLAN,52120,Gujranwala GPO,Punjab,52121
JHAMAT,43070,Attock GPO,Punjab,43071
JHAMRAH,48550,Chakwal GPO,Punjab,48551
JHANG GPO,35200,Jhang GPO,Punjab,35201
JHANGI,22050,Abbottabad GPO,KPK,22051
JHATLA,48260,Chakwal GPO,Punjab,48261
JHATTA HATHIAL,47550,Rawalpindi GPO,Punjab,47551
JHAWRIAN,40350,Sargodha GPO,Punjab,40351
JHELUM G.P.O.,49600,Jhelum GPO,Punjab,49601
JHIKA GALI,47180,Murree GPO,Punjab,47181
JHIMPIR R.S.,73100,Hyderabad GPO,Sindh,73101
JHOK SHARIF,73010,Hyderabad GPO,Sindh,73011
JHOKE UTRA,32430,Dera Ghazi Khan GPO,Punjab,32431
JHOL,68230,Sanghar GPO,Sindh,68231
JHUDO,69310,Mirpur Khas GPO,Sindh,69311
JIWANI,91100,Turbat GPO,Balochistan,91101
JOHAR TOWN,54782,Lahore Cantt. GPO,Punjab,54783
JOHI,76190,Dadu GPO,Sindh,76191
JOKALIAN,50660,Gujrat GPO,Punjab,50661
JUMAN SHAH,31600,Layyah GPO,Punjab,31601
JUNEJO MODEL FORM FARM,68300,Sanghar GPO,Sindh,68301
JURA,13224,Muzaffarabad GPO,AJK,10225
JUTIAL ,15150,Gilgit GPO,Northern Area,15151
KABAL,19060,Saidu Sharif GPO,KPK,19061
KABIR WALA,58250,Khanewal GPO,Punjab,58251
KACHA KHUH,58100,Khanewal GPO,Punjab,58101
KACHAMALI KHEL,29184,Dera Ismail Khan GPO,KPK,29185
KACHI PAIND KHAN,29130,Dera Ismail Khan GPO,KPK,29131
KACHURA,16150,Skardu HPO,Northern Area,16151
KADHALA,10034,Bhimber GPO,Azad Kashmir,10035
KADIRPUR RAWAN,59000,Multan GPO,Punjab,59001
KAGHAN,21210,Mansehra GPO,KPK,21211
KAGHUZAI,17120,Chitral GPO,KPK,17121
KAHI,26220,Kohat GPO,KPK,26221
KAHNA NAU,53100,Lahore Cantt GPO,Punjab,53101
KAHROR PAKKA,59340,Bahawalpur GPO,Punjab,59341
KAHURI,13200,Muzaffarabad GPO,Azad Kashmir,13201
KAHUTA,47330,Rawalpindi GPO,Punjab,47331
KAHUTI BAZAR,47266,Rawalpindi GPO,Punjab,47267
KAKI NAO,35060,Jhang GPO,Punjab,35061
KAKKI,28320,Bannu GPO,KPK,28321
KAKOTRI,22750,Haripur GPO,KPK,22751
KAKRALA,49326,Jhelum GPO,Punjab,49327
KAKRALI,50980,Gujrat GPO,Punjab,50981
KAKUL,22070,Abbottabad GPO,KPK,22071
KALA,32160,Dera Ghazi Khan GPO,Punjab,32161
KALA,49500,Jhelum GPO,Punjab,49501
KALA BAGH (HAZARA),22270,Abbottabad GPO,KPK,22271
KALA DAB,11260,Kotli GPO,Azad Kashmir,11261
KALA GUJRAN,49490,Jhelum GPO,Punjab,49491
KALABAGH,42360,Mianwali GPO,Punjab,42361
KALABAT,23520,Sawabi GPO,KPK,23521
KALAN BASAND,47274,Rawalpindi GPO,Punjab,47275
KALANGAR,22810,Haripur GPO,KPK,22811
KALAR KAHAR,48530,Chakwal GPO,Punjab,48531
KALAS WALA,51530,Sialkot GPO,Punjab,51531
KALASKEY,52074,Gujranwala GPO,Punjab,52075
KALAT,88300,Khuzdar GPO,Balochistan,88301
KALATUK,92400,Turbat GPO,Balochistan,92401
KALEKE,52150,Gujranwala GPO,Punjab,52151
KALHORA,67350,Nawabshah GPO,Sindh,67351
KALIAM AWAN,47680,Gujar Khan GPO,Punjab,47681
KALIAM AWAN,47680,Rawalpindi GPO,Punjab,47681
KALLAR SAYYDAN,47520,Rawalpindi GPO,Punjab,47521
KALLAS SHARIF,40290,Sargodha GPO,Punjab,40291
KALLOR,42208,Mianwali GPO,Punjab,42209
KALLUR KOT ,30140,Bhakkar GPO,Punjab,30141
KALRI,42220,Mianwali GPO,Punjab,42221
KALRI,10382,Mirpur GPO,AJK,10382
KALU KHAN,23410,Mardan GPO,KPK,23411
KALWAN,89300,Turbat GPO,Balochistan,89301
KAMALIA,36350,T.T Singh GPO,Punjab,36351
KAMALIA SUGAR MILLS ,36380,T.T Singh GPO,Punjab,36381
KAMALPUR MUSA,43442,Attock GPO,Punjab,43443
KAMAR MASHANI,42400,Mianwali GPO,Punjab,42401
KAMBAR,77210,Larkana GPO,Sindh,77211
KAMO KE,52470,Gujranwala GPO,Punjab,52471
KAMRAN KALAY,24424,Charsadda GPO,KPK,24425
KAMRIAL,43360,Attock GPO,Punjab,43361
KANA,19080,Saidu Sharif GPO,KPK,19081
KANDAN,40620,Sargodha GPO,Punjab,40621
KANDHKOT,79160,Jacobabad GPO,Sindh,79161
KANDIARI,68310,Sanghar GPO,Sindh,68311
KANDIRA,65300,Sukkur GPO,Sindh,65301
KANGANPUR,55000,Kasur GPO,Punjab,55001
KANGRA,24620,Charsadda GPO,KPK,24621
KANGRA TOWNSHIP,22680,Haripur GPO,KPK,22681
KANI,43002,Attock GPO,Punjab,43003
KANJRUR,51760,Narowal GPO,Punjab,51761
KANJUR,43364,Attock GPO,Punjab,43365
KANJWANI,37100,Faisalabad GPO,Punjab,37101
KANYAT KHALIL,47730,Gujar Khan GPO,Punjab,47731
KAPUROWALI,51150,Sialkot GPO,Punjab,51151
KARACHI AIRPORT,75200,Korangi GPO,Sindh,75201
KARACHI ALHYDRI GPO,74700,Alhydri GPO,Sindh,74701
KARACHI BALDIA TOWN,75760,Alhydri GPO,Sindh,75761
KARACHI BOARD OF SECONDARY EDUCATION,75990,Alhydri GPO,Sindh,75991
KARACHI CANTT. ,75530,Karachi Saddar GPO,Sindh,75531
KARACHI CITY G.P.O.,74000,Karachi City GPO,Sindh,74001
KARACHI CLIFTON,75600,Karachi GPO,Sindh ,75601
KARACHI DARUL ULOOM (KP-683),75180,Korangi GPO,Sindh,75181
KARACHI DEFENCE HOUSING SOCIETY,75500,Karachi Saddar GPO,Sindh,75501
KARACHI FEDERAL B AREA,75950,New Town GPO,Sindh,75951
KARACHI G.P.O.,74200,Karachi GPO,Sindh,74201
KARACHI GOVERNOR HOUSE,75580,Karachi GPO,Sindh,75581
KARACHI GULISTAN-E-JOUHAR (KP-2023) ,75290,New Town GPO,Sindh,75291
KARACHI GULSHAN-E-IQBAL ,75300,New Town GPO,Sindh,75301
KARACHI GULSHAN-E-JAMAL ,75260,New Town GPO,Sindh,75261
KARACHI GULZAR-E-HIJRI,75330,New Town GPO,Sindh,75331
KARACHI HABIB BANK,75650,Karachi City GPO,Sindh,75651
KARACHI HOTEL METROPOLE,75520,Karachi GPO,Sindh,75521
KARACHI I.T.E,75700,Alhydri GPO,Sindh,75701
KARACHI J.P.M.C,75510,Karachi Saddar GPO,Sindh,75511
KARACHI LIAQATABAD,75900,Alhydri GPO,Sindh,75901
KARACHI LYARI,75660,Karachi City GPO,Sindh,75661
KARACHI MANGHOPIR,75890,Alhydri GPO,Sindh,75891
KARACHI MAURIPUR AF,75750,Karachi City GPO,Sindh,75751
KARACHI MAURIPUR CE,75780,Karachi City GPO,Sindh,75781
KARACHI METROVILLE,75840,Alhydri GPO,Sindh,75841
KARACHI MOSAMIAT CHOWRANGI,75280,New Town GPO,Sindh,75281
KARACHI NAZIMABAD ,74600,Alhydri GPO,Sindh,74601
KARACHI NEW SABZI MANDI,75340,New Town GPO,Sindh,75341
KARACHI NISHTAR ROAD,75550,New Town GPO,Sindh,75551
KARACHI P.E.C.H.S BI-2,75400,New Town GPO,Sindh,75401
KARACHI P.N.A.D.,75790,Alhydri GPO,Sindh,75791
KARACHI SADDAR G.P.O.,74400,Karachi Saddar GPO,Sindh,74401
KARACHI SHAHRA-E-FAISAL,75350,New Town GPO,Sindh,75351
KARACHI SHER SHAH COLONY,75730,Karachi City GPO,Sindh,75731
KARACHI UNIVERSITY ,75270,New Town GPO,Sindh,75271
KARAK GPO,27200,Karak GPO,KPK,27201
KARAKH,89350,Khuzdar GPO,Balochistan,89351
KARAM PUR,78220,Shikarpur GPO,Sindh,78221
KARAMPUR,61220,Vehari GPO,Punjab,61221
KARARIWALA KALAN,50270,Gujrat GPO,Punjab,50271
KARIANWALA,50830,Gujrat GPO,Punjab,50831
KARIM ABAD,31660,Layyah GPO,Punjab,31661
KARIMABAD,15700,Gilgit GPO,Northern Area,15701
KARIO GHANWAR,72020,Hyderabad GPO,Sindh,72021
KARNAH,13220,Muzaffarabad GPO,Azad Kashmir,13221
KAROR,31100,Layyah GPO,Punjab,31101
KARRIALA,48510,Chakwal GPO,Punjab,48511
KARULI,48554,Chakwal GPO,Punjab,48555
KASHMIRI BAZAR,47190,Murree GPO,Punjab,47191
KASHMOR COLONY,79210,Jacobabad GPO,Sindh,79211
KASHMORE,79200,Jacobabad GPO,Sindh,79201
KASSOKI,52140,Gujranwala GPO,Punjab,52141
KASSOWAL,57300,Sahiwal GPO,Punjab,57301
KASUR G.P.O,55050,Kasur GPO,Punjab,55051
KATAGARI,93200,Turbat GPO,Balochistan,93201
KATHA DILAWAR KHAN,10550,Mirpur GPO,Azad Kashmir,10551
KATHIALA SHEIKHAN,50480,Mandi Bahauddin GPO,Punjab,50481
KATLANG,23240,Mardan GPO,KPK,23241
KAWANKH,50880,Gujrat GPO,Punjab,50881
KAZIAN,47960,Gujar Khan GPO,Punjab,47961
KEHRORE,47280,Rawalpindi GPO,Punjab,47281
KEMARI,75620,Karachi GPO,Sindh,75621
KHABBEKKI,41120,Khushab GPO,Punjab,41121
KHADAR KHAN KHEL,28020,Bannu GPO,KPK,28021
KHADHAN,72270,Hyderabad GPO,Sindh,72271
KHADIMABAD ,10310,Mirpur GPO,Azad Kashmir,10311
KHADRIALA,50006,Gujrat GPO,Punjab,50007
KHADRO,68210,Sanghar GPO,Sindh,68211
KHAIGALA,12250,Rawalakot GPO,Azad Kashmir,12251
KHAIR ABAD,24000,Nowshera GPO,KPK,24001
KHAIR PUR GPO,66020,Khairpur GPO,Sindh,66021
KHAIRA GALI,22330,Abbottabad GPO,KPK,22331
KHAIRPUR (CHAKWAL),48380,Chakwal GPO,Punjab,48381
KHAIRPUR JOSO,77240,Larkana GPO,Sindh,77241
KHAIRPUR NATHAN SHAH,76260,Dadu GPO,Sindh,76261
KHAIRPUR SADAT,34470,Muzaffargarh GPO,Punjab,34471
KHAIRPUR TAMIWALI,63060,Bahawalpur GPO,Punjab,63061
KHAKI,21350,Mansehra GPO,KPK,21351
KHALABAT TOWNSHIP,22800,Haripur GPO,KPK,22801
KHALAS PUR,49740,Jhelum GPO,Punjab,49741
KHALL,18250,Batkhela HPO,KPK,18251
KHALOL,47410,Rawalpindi GPO,Punjab,47411
KHAMBARA,65034,Sukkur GPO,Sindh,65035
KHAN BELA,59260,Multan GPO,Punjab,59261
KHAN BELA,64040,Rahimyar Khan GPO,Punjab,64041
KHAN GAH DOGRAN,39560,Qila Sheikhupura GPO,Punjab,39561
KHAN GARH,34350,Muzaffargarh GPO,Punjab,34351
KHAN PUR,64100,Rahimyar Khan GPO,Punjab,64101
KHAN PUR (CHAKWAL),48870,Chakwal GPO,Punjab,48871
KHAN PUR (SHIKARPUR),78200,Shikarpur GPO,Sindh,78201
KHAN PUR SYEDAN,51460,Sialkot GPO,Punjab,51461
KHAN WAHAN,67030,Nawabshah GPO,Sindh,67031
KHANEWAL AMMUNITION DEPOT,58120,Khanewal GPO,Punjab,58121
KHANEWAL GPO,58150,Khanewal GPO,Punjab,58151
KHANKI,52050,Gujranwala GPO,Punjab,52051
KHANOZAI,86600,Quetta GPO,Balochistan,86601
KHANPUR (HAZARA),22650,Haripur GPO,KPK,22651
KHANPUR JUNEJO,76264,Dadu GPO,Sindh,76265
KHANPUR MAHAR,65070,Sukkur GPO,Sindh,65071
KHANPUR SHUMALI,34550,Muzaffargarh GPO,Punjab,34551
KHANQAH MUBARIK,63270,Bahawalpur GPO,Punjab,63271
KHAPLU,16800,Skardu HPO,Northern Area,16801
KHAR (BAJAUR AGENCY),18650,Batkhela HPO,KPK,18651
KHARAL ABBASIAN,12520,Bagh GPO,Azad Kashmir,12521
KHARAN,94100,Quetta GPO,Balochistan,94101
KHARIAN CANTT,50070,Gujrat GPO,Punjab,50071
KHARIAN CITY,50090,Gujrat GPO,Punjab,50091
KHAROTA SYEDAN,51240,Sialkot GPO,Punjab,51241
KHAUR,43380,Attock GPO,Punjab,43381
KHAUR VILLAGE,43382,Attock GPO,Punjab,43383
KHAWAZA KHELA,19110,Saidu Sharif GPO,KPK,19111
KHESHKI PAYAN,24120,Nowshera GPO,KPK,24121
KHEWRA,49060,Jhelum GPO,Punjab,49061
KHICHI WALA,62040,Bahawal Nagar GPO,Punjab,62041
KHINGAR MAMDAL,47994,Gujar Khan GPO,Punjab,47995
KHIPRO,68330,Sanghar GPO,Sindh,68331
KHOHAR,50050,Gujrat GPO,Punjab,50051
KHOKHAR GHARBI,50610,Gujrat GPO,Punjab,50611
KHOKRAPAR,69120,Mirpur Khas GPO,Sindh,69121
KHORI ALAM,50286,Mandi Bahauddin GPO,Punjab,50287
KHOST,82310,SIBI GPO,Balochistan,82311
KHUDA KI BASTI,76340,Hyderabad GPO,Sindh,76341
KHUDIAN,55030,Kasur GPO,Punjab,55031
KHUI RATTA (A.K),11200,Kotli GPO,Azad Kashmir,11201
KHUKHA,49380,Jhelum GPO,Punjab,49381
KHUNDA,43300,Attock GPO,Punjab,43301
KHUNDA,23560,Sawabi GPO,KPK,23561
KHURA,41022,Khushab GPO,Punjab,41023
KHURRA,66090,Khairpur GPO ,Sindh,66091
KHURRAM GUJAR,47092,Wah Cantt.GPO,Punjab,47093
KHURRIAN WALA,37630,Faisalabad GPO,Punjab,37631
KHUSHAB ATOMIC ENERGY COMMISSION,41264,Khushab GPO,Punjab,41265
KHUSHAB G.P.O.,41000,Khushab GPO,Punjab,41001
KHUZDAR CANTT.,89150,Khuzdar GPO,Balochistan,89151
KHUZDAR G.P.O.,89100,Khuzdar GPO,Balochistan,89101
KHYABAN-E-SARWAR,32210,Dera Ghazi Khan GPO,Punjab,32211
KILA SOBHA SINGH,51540,Narowal GPO,Punjab,51541
KILLA ABADULLLAH,86200,Quetta GPO,Balochistan,86201
KILLA SAIFULLAH,85400,Loralai GPO,Balochistan,85401
KILLI ABDUR REHMAN ZAI,86410,Quetta GPO,Balochistan,86411
KILLI VERCHOOM,86650,Quetta GPO,Balochistan,86651
KINGER,47930,Gujar Khan GPO,Punjab,47931
KINJHAR LAKE,73120,Hyderabad GPO,Sindh,73121
KIRANA HILL,40250,Sargodha GPO,Punjab,40251
KIRI SHAMOZAI,29240,Dera Ismail Khan GPO,KPK,29241
KIRIS,16700,Skardu HPO,Northern Area,16701
KIRRI KHAISOR,29180,Dera Ismail Khan GPO,KPK,29181
KISRAN,43200,Attock GPO,Punjab,43201
KOGHUZI,17120,Mardan GPO,KPK,17121
KOHAT BOARD OF EDUCATION,26064,Kohat GPO,KPK,26065
KOHAT CADET COLLEGE ,26030,Kohat GPO,KPK,26031
KOHAT GPO,26000,Kohat GPO,KPK,26001
KOHAT GUNNERS LINE,26050,Kohat GPO,KPK,26051
KOHAT J.D.M.T.MILLS,26070,Kohat GPO,KPK,26071
KOHAT OFFICERS TRAINING SCHOOL ,26090,Kohat GPO,KPK,26091
KOHAT P.A.F.,26080,Kohat GPO,KPK,26081
KOHAT POLICE RECRUIT TRAINING CENTRE,26020,Kohat GPO,KPK,26021
KOHAT SATELLITE TOWN,26054,Kohat GPO,KPK,26055
KOHI BARMOL,23260,Mardan GPO,KPK,23261
KOHI TAFTAN,95000,Quetta GPO,Balochistan,95001
KOHINOOR ENERGY,55160,Lahore GPO,Punjab,55161
KOHIWALA,58260,Khanewal GPO,Punjab,58261
KOHLOWALA,52130,Gujranwala GPO,Punjab,52131
KOHLU,83000,Loralai GPO,Balochistan,83001
KOLIAN HAMEED,47296,Rawalpindi GPO,Punjab,47297
KOLPUR,81550,Sibi GPO,Balochistan,81551
KORANGI CREEK,75190,Korangi GPO,Sindh,75191
KORANGI G.P.O.,74900,Korangi GPO,Sindh,74901
KORYAL KALAN,39424,Qila Sheikhupura GPO,Punjab,39425
KOSHT,17100,Chitral GPO,KPK,17101
KOT ABDUL MALIK,39250,Qila Sheikhupura GPO,Punjab,39251
KOT ADU,34050,Muzaffargarh GPO,Punjab,34051
KOT ALLAH SINGH,58230,Khanewal GPO,Punjab,58231
KOT CHHAJI,43110,Attock GPO,Punjab,43111
KOT CHUTTA,32350,Dera Ghazi Khan GPO,Punjab,32351
KOT DIGI,68060,Khairpur GPO ,Sindh,68061
KOT FATEH KHAN,43340,Attock GPO,Punjab,43341
KOT GUHLAM MOHAMMAD,69340,Mirpur Khas GPO,Sindh,69341
KOT JAI,29210,Dera Ismail Khan GPO,KPK,29211
KOT MIRJAN MUHAMMAD,69300,Mirpur Khas GPO,Sindh,69301
KOT MOMAN,40450,Sargodha GPO,Punjab,40451
KOT NAJIBULLAH,22660,Haripur GPO,KPK,22661
KOT NIZAMDIN,39660,Qila Sheikhupura GPO,Punjab,39661
KOT QAISRANI,32130,Dera Ghazi Khan GPO,Punjab,32131
KOT QAZI,48222,Talagang GPO,Punjab,48223
KOT RADHA KISHAN,55180,Kasur GPO,Punjab,55181
KOT SARANG,48080,Talagang GPO,Punjab,48081
KOT SHAKIR,35510,Jhang GPO,Punjab,35511
KOT SOMABA,64170,Rahimyar Khan GPO,Punjab,64171
KOT SUBZAL,64470,Rahimyar Khan GPO,Punjab,64471
KOT SULTAN,31650,Layyah GPO,Punjab,31651
KOTALI NIJABAT,59310,Multan GPO,Punjab,59311
KOTERA,48282,Talagang GPO,Punjab,48283
KOTHA,23500,Sawabi GPO,KPK,23501
KOTLA,50990,Gujrat GPO,Punjab,50991
KOTLA MUSA KHAN,63400,Bahawalpur GPO,Punjab,63401
KOTLI BEHRAM,51330,Sialkot GPO,Punjab,51331
KOTLI GPO (AK),11100,Kotli GPO,Azad Kashmir,11101
KOTLI LOHARAN EAST,51210,Sialkot GPO,Punjab,51211
KOTLI LOHARAN WEST,51220,Sialkot GPO,Punjab,51221
KOTLI SATTIAN,47260,Rawalpindi GPO,Punjab,47261
KOTRI,76000,Hyderabad GPO,Sindh,76001
KOTRI KABIR,67010,Nawabshah GPO,Sindh,67011
KOZA BANDA,21060,Mansehra GPO,KPK,21061
KUCHLAK,87000,Quetta GPO,Balochistan,87001
KUDDAN,92650,Turbat GPO,Balochistan,92651
KUFRI,41162,Khushab GPO,Punjab,41163
KUKKAR HATTA,58270,Khanewal GPO,Punjab,58271
KULACHI,29350,Dera Ismail Khan GPO,KPK,29351
KULDANA,47130,Murree GPO,Punjab,47131
KULLOWAL,51130,Sialkot GPO,Punjab,51131
KUMB,66120,Khairpur GPO ,Sindh,66121
KUNDIAN,42050,Mianwali GPO,Punjab,42051
KUNDWAL,49010,Jhelum GPO,Punjab,49011
KUNJAH,50620,Gujrat GPO,Punjab,50621
KUNRI,69160,Mirpur Khas GPO,Sindh,69161
KUNTRILLA,47900,Gujar Khan GPO,Punjab,47901
KURI,45570,Islamabad GPO,Federal Capital,45571
KUTABPUR,59110,Bahawalpur GPO,Punjab,59111
KUTBAL,43390,Attock GPO,Punjab,43391
KUTHIALA,22100,Abbottabad GPO,KPK,22101
LACHI,26360,Kohat GPO,KPK,26361
LADGASHT,94150,Quetta GPO,Balochistan,94151
LADHA,29490,Tank GPO,KPK,29491
LADHANA,31350,Layyah GPO,Punjab,31351
LADHE WALA WARAICH ,52320,Gujranwala GPO,Punjab,52321
LADIUN,73080,Hyderabad GPO,Sindh,73081
LAHOR CHHOTA (MARDAN),23570,Sawabi GPO,KPK,23571
LAHORE ALLAMA IQBAL TOWN,54570,Lahore GPO,Punjab,54571
LAHORE CANTT. G.P.O.,54810,Lahore Cantt GPO,Punjab,54811
LAHORE DEFENCE HOUSING SOICETY ,54792,Lahore Cantt GPO,Punjab,54793
LAHORE E.M.E Society P.O,53710,Lahore GPO,Punjab,53711
LAHORE ENGINEERING UNIVERSITY,54890,Lahore GPO,Punjab,54891
LAHORE G.P.O,54000,Lahore GPO,Punjab,54001
LAHORE ISMAIL NAGAR,54760,Lahore Cantt GPO,Punjab,54761
LAHORE MULTAN ROAD,54500,Lahore GPO,Punjab,54501
LAHORE NEW UNIVERSITY CAMPUS,54590,Lahore GPO,Punjab,54591
LAHORE PMG PUNJAB POST OFFICE,54560,Lahore GPO,Punjab,54561
LAHORE PT & T AUDIT,54550,Lahore GPO,Punjab,54551
LAHORE PUNJAB GOVERNOR HOUSE,54880,Lahore GPO,Punjab,54881
LAHORE SECONDARY BOARD,54650,Lahore GPO,Punjab,54651
LAHORE SHADMAN WOMEN MODEL P.O,54610,Lahore GPO,Punjab,54611
LAKARMAR,43060,Attock GPO,Punjab,43061
LAKHA ROAD,67300,Nawabshah GPO,Sindh,67301
LAKHAN WAL,50800,Gujrat GPO,Punjab,50801
LAKHI GHULAM SHAH,78060,Shikarpur GPO,Sindh,78061
LAKKI HEADQUARTER COMPLEX,28500,Bannu GPO,KPK,28501
LAKKI MARWAT HPO,28420,Bannu GPO,KPK,28421
LAKKI MARWAT MAIL LORRY ADDA,28510,Bannu GPO,KPK,28511
LAL QILLA,18350,Batkhela HPO,KPK,18351
LALA MUSA,50200,Gujrat GPO,Punjab,50201
LALA RUKH WAH CANTT,47010,Wah Cantt. GPO,Punjab,47011
LALAZAR COLONY WAH ,47044,Wah Cantt. GPO,Punjab,47045
LALBANI,67314,Nawabshah GPO,Sindh,67315
LALIAN,35470,Jhang GPO,Punjab,35471
LALLIANI,40440,Sargodha GPO,Punjab,40441
LALU RAUNK,77250,Larkana GPO,Sindh,77251
LAND KAMAR,27600,Karak GPO,KPK,27601
LANDE WAH,28410,Bannu GPO,KPK,28411
LANDHI COLONY,75160,Korangi GPO,Sindh,75161
LANDI ARBAB,25220,Peshawar GPO,KPK,25221
LANDI KOTAL,24740,Peshawar GPO,KPK,24741
LANGAY,50624,Gujrat GPO,Punjab,50625
LAR,59130,Multan GPO,Punjab,59131
LARKANA GPO,77150,Larkana GPO,Sindh,77151
LASHARI,77390,Larkana GPO,Sindh,77391
LASSAN NAWAB,21390,Mansehra GPO,KPK,21391
LATAMBER,27800,Karak GPO,KPK,27801
LATIFABAD,71800,Hyderabad GPO,Sindh,71801
LATRA,32000,Dera Ghazi Khan GPO,Punjab,32001
LAUGAH,48950,Chakwal GPO,Punjab,48951
LAWA,48250,Talagang GPO,Punjab,48251
LAWRENCE COLLEGE,47114,Murree GPO,Punjab,47115
LAYYAH GPO,31200,Layyah GPO,Punjab,31201
LAYYAH SUGAR MILLS,31300,Layyah GPO,Punjab,31301
LEEPA,13164,Muzaffarabad GPO,Azad Kashmir,13165
LEHR SULTAN PUR,48400,Chakwal GPO,Punjab,48401
LEHRI,49270,Jhelum GPO,Punjab,49271
LEHRI,81200,Sibi GPO,Balochistan,81201
LEHRI ,47400,Rawalpindi GPO,Punjab,47401
LEHRI KAKAN,48430,Chakwal GPO,Punjab,48431
LEHTRAR BALA,47270,Rawalpindi GPO,Punjab,47271
LENGRIALI,51400,Sialkot GPO,Punjab,51401
LESSAR KALAN,51804,Narowal GPO,Punjab,51805
